epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67825,0.95126,4.31304,1.42143,0.79393,0.5,0.91167,0.67958,0.94892,6.01542,1.62284,1.667e-05,1.667e-05,1.667e-05
2,4.74933,1.04206,4.50595,1.48794,1,0.46956,0.995,0.74625,0.92121,5.95284,1.6086,4.91848e-05,4.91848e-05,4.91848e-05
3,5.5934,0.89859,4.35906,1.39513,1,0.47323,0.995,0.74625,0.87022,6.0586,1.57762,8.05995e-05,8.05995e-05,8.05995e-05
4,6.55451,0.91855,4.29084,1.37603,0.96198,0.97988,0.995,0.75864,0.92074,4.55454,1.67293,0.000110914,0.000110914,0.000110914
5,7.64171,0.94093,2.81099,1.35395,0.71237,1,0.91167,0.69618,0.97476,4.67746,1.90714,0.000140128,0.000140128,0.000140128
6,8.67312,0.74821,2.42374,1.26302,0.94172,1,0.995,0.84575,0.9957,5.44904,1.86169,0.000168242,0.000168242,0.000168242
7,9.81362,0.77076,2.17366,1.25924,0.85913,1,0.995,0.87052,0.80476,4.79861,1.70592,0.000195256,0.000195256,0.000195256
8,10.9463,0.70436,1.83799,1.16243,0.96737,1,0.995,0.7708,1.05491,4.7602,1.98227,0.000221169,0.000221169,0.000221169
9,12.2018,0.74463,1.73499,1.23924,0.97027,1,0.995,0.79556,1.07306,4.92882,2.04891,0.000245983,0.000245983,0.000245983
10,13.5545,0.73033,1.38807,1.18865,0.88139,0.99475,0.995,0.77079,0.95671,4.71992,1.73166,0.000269696,0.000269696,0.000269696
11,14.9801,0.68151,1.37993,1.21831,0.91057,1,0.995,0.796,0.89257,4.94399,1.85229,0.000292308,0.000292308,0.000292308
12,16.0473,0.67791,1.43768,1.17459,0.78549,1,0.91167,0.76243,0.92195,5.8019,2.30291,0.000313821,0.000313821,0.000313821
13,17.0615,0.71058,1.34237,1.1475,0.88743,0.97822,0.995,0.74625,1.16282,5.92977,2.76799,0.000334234,0.000334234,0.000334234
14,18.0456,0.75676,1.27993,1.19479,0.82997,0.92497,0.995,0.69628,1.3051,6.49906,2.95012,0.000353546,0.000353546,0.000353546
15,19.0424,0.71235,1.1013,1.19348,0.87762,0.75,0.91167,0.61342,1.44128,6.57075,3.3511,0.000371758,0.000371758,0.000371758
16,20.0513,0.69922,1.24848,1.23233,0.82256,0.75,0.845,0.56678,1.74398,6.46337,3.43605,0.000388869,0.000388869,0.000388869
17,21.039,0.71667,0.95928,1.17782,0.95572,0.25,0.62125,0.35215,1.5497,7.18836,2.75558,0.000404881,0.000404881,0.000404881
18,22.0292,0.71844,0.98285,1.25254,0.7446,0.25,0.32285,0.21096,1.23087,7.96636,2.30521,0.000419792,0.000419792,0.000419792
19,23.0462,0.69931,0.89126,1.18114,0.73547,0.25,0.18625,0.14277,1.16734,8.58778,2.18847,0.000433603,0.000433603,0.000433603
20,24.0097,0.65117,0.85369,1.19947,0.2165,0.63852,0.48476,0.27544,1.70618,9.19847,3.02834,0.000446314,0.000446314,0.000446314
21,24.9835,0.66342,0.89419,1.1452,0.67199,0.75,0.79045,0.30342,1.76576,9.60949,3.33497,0.000457925,0.000457925,0.000457925
22,26.2276,0.70016,0.87633,1.24795,0.97574,0.5,0.66333,0.17406,1.92556,8.08861,3.25024,0.000468435,0.000468435,0.000468435
23,27.6965,0.76914,1.00109,1.26208,0.95391,0.5,0.58437,0.22748,1.64823,7.3227,2.6279,0.000477846,0.000477846,0.000477846
24,29.0519,0.67794,0.81672,1.18472,0.87376,0.8541,0.995,0.59712,2.02455,4.92861,4.03989,0.000486156,0.000486156,0.000486156
25,30.1252,0.63338,0.76117,1.10943,0.48419,0.5,0.62187,0.28592,1.91058,5.08035,3.345,0.000493365,0.000493365,0.000493365
26,31.1048,0.71634,0.68299,1.1496,0.01185,0.25,0.01561,0.00937,1.18527,6.07669,2.02222,0.000499475,0.000499475,0.000499475
27,32.0641,0.73452,0.82034,1.2256,0.25489,0.5,0.49708,0.34785,1.15629,4.54791,2.0043,0.000504484,0.000504484,0.000504484
28,33.0277,0.70589,0.74939,1.23952,0.25489,0.5,0.49708,0.34785,1.15629,4.54791,2.0043,0.000508393,0.000508393,0.000508393
29,33.9978,0.65201,0.68005,1.15317,0.94841,0.25,0.41417,0.28992,1.17492,3.08698,2.04628,0.000511202,0.000511202,0.000511202
30,34.9808,0.58173,0.60205,1.06944,0.57307,1,0.74625,0.49739,1.28077,2.02671,2.33254,0.000512911,0.000512911,0.000512911
31,36.085,0.72529,0.6682,1.17513,0.57307,1,0.74625,0.49739,1.28077,2.02671,2.33254,0.000513519,0.000513519,0.000513519
32,37.4777,0.67882,0.65519,1.1005,0.92372,1,0.995,0.60939,1.31875,1.42959,2.52461,0.000513028,0.000513028,0.000513028
33,38.9783,0.63755,0.59654,1.15696,0.95286,1,0.995,0.796,1.03154,1.31028,2.10105,0.000511436,0.000511436,0.000511436
34,40.4089,0.64113,0.62171,1.09465,0.95286,1,0.995,0.796,1.03154,1.31028,2.10105,0.000508743,0.000508743,0.000508743
